name,price,evaluate,discount,img_url
iPhone 11 64GB,19.490.000₫,78 đánh giá,GIẢM 2.500.000₫,https://cdn.tgdd.vn/Products/Images/42/153856/iphone-11-red-600x600.jpg
iPhone 11 Pro Max 512GB,40.490.000₫,,GIẢM 3.500.000₫,https://cdn.tgdd.vn/Products/Images/42/210654/iphone-11-pro-max-512gb-gold-600x600.jpg
iPhone 11 Pro Max 256GB,35.490.000₫,23 đánh giá,GIẢM 2.500.000₫,https://cdn.tgdd.vn/Products/Images/42/210653/iphone-11-pro-max-256gb-black-600x600.jpg
iPhone 11 Pro 256GB,33.490.000₫,5 đánh giá,GIẢM 1.500.000₫,https://cdn.tgdd.vn/Products/Images/42/210655/iphone-11-pro-256gb-black-600x600.jpg
iPhone 11 Pro Max 64GB,30.490.000₫,26 đánh giá,GIẢM 3.500.000₫,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABAQMAAAAl21bKAAAAA1BMVEX6+vqsEtnpAAAACklEQVQI12NgAAAAAgAB4iG8MwAAAABJRU5ErkJggg=="
iPhone 11 Pro 64GB,29.990.000₫,6 đánh giá,GIẢM 1.000.000₫,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABAQMAAAAl21bKAAAAA1BMVEX6+vqsEtnpAAAACklEQVQI12NgAAAAAgAB4iG8MwAAAABJRU5ErkJggg=="
iPhone Xs Max 256GB,25.990.000₫,33 đánh giá,GIẢM 5.000.000₫,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABAQMAAAAl21bKAAAAA1BMVEX6+vqsEtnpAAAACklEQVQI12NgAAAAAgAB4iG8MwAAAABJRU5ErkJggg=="
iPhone Xs Max 64GB,23.990.000₫,78 đánh giá,GIẢM 2.000.000₫,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABAQMAAAAl21bKAAAAA1BMVEX6+vqsEtnpAAAACklEQVQI12NgAAAAAgAB4iG8MwAAAABJRU5ErkJggg=="
iPhone 11 256GB,24.490.000₫,,GIẢM 1.500.000₫,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABAQMAAAAl21bKAAAAA1BMVEX6+vqsEtnpAAAACklEQVQI12NgAAAAAgAB4iG8MwAAAABJRU5ErkJggg=="
iPhone Xs 256GB,24.490.000₫,,GIẢM 500.000₫,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABAQMAAAAl21bKAAAAA1BMVEX6+vqsEtnpAAAACklEQVQI12NgAAAAAgAB4iG8MwAAAABJRU5ErkJggg=="
iPhone 11 128GB,22.490.000₫,29 đánh giá,GIẢM 1.500.000₫,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABAQMAAAAl21bKAAAAA1BMVEX6+vqsEtnpAAAACklEQVQI12NgAAAAAgAB4iG8MwAAAABJRU5ErkJggg=="
iPhone SE 256GB (2020),17.490.000₫,,GIẢM 500.000₫,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABAQMAAAAl21bKAAAAA1BMVEX6+vqsEtnpAAAACklEQVQI12NgAAAAAgAB4iG8MwAAAABJRU5ErkJggg=="
iPhone 8 Plus 64GB,14.490.000₫,329 đánh giá,GIẢM 1.500.000₫,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABAQMAAAAl21bKAAAAA1BMVEX6+vqsEtnpAAAACklEQVQI12NgAAAAAgAB4iG8MwAAAABJRU5ErkJggg=="
iPhone SE 128GB (2020),14.490.000₫,,GIẢM 500.000₫,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABAQMAAAAl21bKAAAAA1BMVEX6+vqsEtnpAAAACklEQVQI12NgAAAAAgAB4iG8MwAAAABJRU5ErkJggg=="
iPhone 7 Plus 32GB,10.490.000₫,652 đánh giá,GIẢM 2.500.000₫,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABAQMAAAAl21bKAAAAA1BMVEX6+vqsEtnpAAAACklEQVQI12NgAAAAAgAB4iG8MwAAAABJRU5ErkJggg=="
iPhone SE 64GB (2020),12.490.000₫,21 đánh giá,GIẢM 500.000₫,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABAQMAAAAl21bKAAAAA1BMVEX6+vqsEtnpAAAACklEQVQI12NgAAAAAgAB4iG8MwAAAABJRU5ErkJggg=="
iPhone 7 32GB,7.990.000₫,199 đánh giá,GIẢM 2.000.000₫,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABAQMAAAAl21bKAAAAA1BMVEX6+vqsEtnpAAAACklEQVQI12NgAAAAAgAB4iG8MwAAAABJRU5ErkJggg=="
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,//images.dmca.com/Badges/dmca-badge-w100-5x1-11.png?ID=5b62e759-2a0c-4d86-b972-af903bfbc89d
,,,,
name,price,evaluate,discount,img_url
iPhone 11 64GB,19.490.000₫,78 đánh giá,GIẢM 2.500.000₫,https://cdn.tgdd.vn/Products/Images/42/153856/iphone-11-red-600x600.jpg
iPhone 11 Pro Max 512GB,40.490.000₫,,GIẢM 3.500.000₫,https://cdn.tgdd.vn/Products/Images/42/210654/iphone-11-pro-max-512gb-gold-600x600.jpg
iPhone 11 Pro Max 256GB,35.490.000₫,23 đánh giá,GIẢM 2.500.000₫,https://cdn.tgdd.vn/Products/Images/42/210653/iphone-11-pro-max-256gb-black-600x600.jpg
iPhone 11 Pro 256GB,33.490.000₫,5 đánh giá,GIẢM 1.500.000₫,https://cdn.tgdd.vn/Products/Images/42/210655/iphone-11-pro-256gb-black-600x600.jpg
iPhone 11 Pro Max 64GB,30.490.000₫,26 đánh giá,GIẢM 3.500.000₫,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABAQMAAAAl21bKAAAAA1BMVEX6+vqsEtnpAAAACklEQVQI12NgAAAAAgAB4iG8MwAAAABJRU5ErkJggg=="
